name,lei,title,cusip,isin,ticker,other_identifier,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind,isCashCollateral,isNonCashCollateral,isLoanByFund
Veeam Software 11/24 TLB,N/A,Veeam Software 11/24 TLB,91834WAF7,,,LX253234,1223676.97,PA,USD,1228265.76,0.267077390787,Long,LON,CORP,US,N,2,2031-04-12,Floating,7.01947079,N,N,N,N,N,N
CP IRIS HOLDCO I INC,25490024F0AS5UR7DB02,"CP Iris Holdco I, Inc. TL 1L",12659EAC2,US12659EAC21,IPSCOR,LX198140,426087.74,PA,USD,425022.52,0.092418033103,Long,LON,CORP,US,N,2,2028-10-02,Floating,7.8268104,N,N,N,N,N,N
Promontory Interfinancial/IntraFi Network 1/25 TLB,N/A,Promontory Interfinancial/IntraFi Network 1/25 TLB,65343UAH5,,,LX258128,3615107.33,PA,USD,3625012.72,0.788232457793,Long,LON,CORP,US,N,2,2031-07-31,Floating,7.8268104,N,N,N,N,N,N
AQ Carver Buyer (CoAdvantage) 7/23 T/L,N/A,AQ Carver Buyer (CoAdvantage) 7/23 T/L,00226HAG5,,,LX213937,1229029.14,PA,USD,1209438.42,0.26298352364,Long,LON,CORP,US,N,2,2029-08-02,Floating,9.81659879,N,N,N,N,N,N
Mavenir Warrant CL B,N/A,Mavenir Warrant CL B,N/A,,,0,68287,NS,USD,0.07,1.522e-8,Long,DE,CORP,US,N,3,,,,,,,N,N,N
AkzoNobel Specialty Chem(Starfruit) 10/24 TLB,N/A,AkzoNobel Specialty Chem(Starfruit) 10/24 TLB,N8232NAL1,,,LX248297,266746.27,PA,USD,267746.57,0.058219530037,Long,LON,CORP,NL,N,2,2028-04-03,Floating,7.50971879,N,N,N,N,N,N
Power Solutions 1/25 (USD) Incremental TLB,N/A,Power Solutions 1/25 (USD) Incremental TLB,C8000CAP8,,,LX257569,1249677.26,PA,USD,1250464.56,0.27190435721,Long,LON,CORP,US,N,2,2032-01-28,Floating,7.0768116,N,N,N,N,N,N
Canyon Capital CLO Ltd,2549001ZLWJBJYTM8I33,CANYC 2020-2A ER2,13876QAG1,US13876QAG10,CANYC,,1500000,PA,USD,1477071.45,0.321178365236,Long,ABS-CBDO,CORP,KY,Y,2,2034-10-15,Floating,10.0060992,N,N,N,N,N,N
Madison Park Funding Ltd,N/A,MDPK 2019-37A ER2,55817FAG8,US55817FAG81,MDPK,,750000,PA,USD,761169.08,0.165510639842,Long,ABS-CBDO,CORP,KY,Y,2,2037-04-15,Floating,10.8560988,N,N,N,N,N,N
Aramsco 10/23 TLB,N/A,Aramsco 10/23 TLB,03853CAG0,,,LX217409,371363.42,PA,USD,298947.55,0.065003954548,Long,LON,CORP,US,N,2,2030-10-10,Floating,9.0456084,N,N,N,N,N,N
Belron 10/24 TLB,N/A,Belron 10/24 TLB,08078UAM5,,,LX247576,2739285.66,PA,USD,2748818.37,0.597710415706,Long,LON,CORP,US,N,2,2031-10-16,Floating,7.04867039,N,N,N,N,N,N
IMA Financial 11/21 Cov-Lite TL,N/A,IMA Financial 11/21 Cov-Lite TL,44966KAB1,,,LX198941,1373271.49,PA,USD,1372131.67,0.298359978902,Long,LON,CORP,US,N,2,2028-11-01,Floating,7.32681,N,N,N,N,N,N
Ultimate Software 1/24 Cov-Lite TLB,N/A,Ultimate Software 1/24 Cov-Lite TLB,89841EAB1,,,LX225675,1014143.35,PA,USD,1017713.13,0.221294263979,Long,LON,CORP,GB,N,2,2031-02-10,Floating,7.3113408,N,N,N,N,N,N
Benefit Street Partners CLO Lt,25490002NPB1AZIR3342,BSP 2024-34A SUB,081923AC8,US081923AC83,BSP,,4700000,PA,USD,3729497,0.810951798989,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
"Marine One Holdco, LLC (West Marine) - Equity",N/A,"Marine One Holdco, LLC (West Marine) - Equity",N/A,,,LX217136,5865,NS,USD,3225.75,0.000701415704,Long,EC,CORP,US,N,2,,,,,,,N,N,N
FIRST BRANDS GROUP LLC,N/A,"FIRST BRANDS GROUP, LLC, TL",31935HAG2,US31935HAG20,TRICGR,LX209837,1351401.54,PA,USD,1272290.49,0.276650245784,Long,LON,CORP,US,N,2,2027-03-30,Floating,9.54125999,N,N,N,N,N,N
ATHENAHEALTH GROUP INC,254900AA3KZN4Q7A5Z33,MINERVA MERGER ATHENA 6 1/2 02/15/30,60337JAA4,US60337JAA43,ATHENA,,1411000,PA,USD,1387673.35,0.301739403354,Long,DBT,CORP,US,Y,2,2030-02-15,Fixed,6.5,N,N,N,N,N,N
VIASAT INC,UFC8NYMNFSYIHNSM2I38,"VIASAT, INC., TL",92555WAD7,US92555WAD74,VSAT,LX202864,896524.77,PA,USD,859543.12,0.186901354116,Long,LON,CORP,US,N,2,2029-03-02,Floating,8.9412912,N,N,N,N,N,N
Skechers USA 6/25 (USD) TLB,N/A,Skechers USA 6/25 (USD) TLB,N/A,,,LX264893,704711.41,PA,USD,708234.97,0.154000505437,Long,LON,CORP,US,N,2,2032-06-25,Floating,,N,N,N,N,N,N
CIFC Funding Ltd,N/A,CIFC 2022-3A E,12571HAA4,US12571HAA41,CIFC,,850000,PA,USD,852282.17,0.185322513735,Long,ABS-CBDO,CORP,KY,Y,2,2035-04-21,Floating,11.54238119,N,N,N,N,N,N
Regatta XVIII Funding Ltd,N/A,REG18 2021-1A SUB,75884HAB1,US75884HAB15,REG18,,7175322,PA,USD,4516578.19,0.982096837309,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
SPIN HOLDCO INC,549300QAS44U2GUXGK45,SPIN HOLDCO INC. TL,84850XAK8,US84850XAK81,DRY,LX192927,2123029.72,PA,USD,1857651.01,0.403932602292,Long,LON,CORP,US,N,2,2028-03-04,Floating,8.57739959,N,N,N,N,N,N
